,Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Founded,Type_of_ownership,Sector,Revenue
585,Lead Data Scientist,$139K-$221K (Glassdoor est.),3.9,"Zest AI
3.9","Burbank, CA",51 to 200 employees,2009,Company - Private,Finance,$50 to $100 million (USD)
586,"Technology-Minded, Data Professional Opportunities",$40K-$101K (Glassdoor est.),4.7,"Veterans United Home Loans
4.7","Columbia, MO",1001 to 5000 employees,2002,Company - Private,Finance,Unknown / Non-Applicable
587,Big Data Engineer,$84K-$153K (Glassdoor est.),3.3,"Peraton
3.3","Chantilly, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,$1 to $2 billion (USD)
588,Salesforce Analytics Consultant,$52K-$81K (Glassdoor est.),3.9,"Emtec, Inc.
3.9","Chicago, IL",501 to 1000 employees,1995,Company - Private,Information Technology,$100 to $500 million (USD)
589,Managing Data Scientist/ML Engineer,$81K-$134K (Glassdoor est.),3.4,"PA Consulting
3.4","Boston, MA",1001 to 5000 employees,1943,Company - Private,Business Services,$100 to $500 million (USD)
590,Senior Data Engineer,$97K-$180K (Glassdoor est.),4.7,"Praetorian
4.7","Austin, TX",51 to 200 employees,2010,Company - Private,Business Services,$10 to $25 million (USD)
591,Staff Scientist- Upstream PD,$49K-$113K (Glassdoor est.),2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,$25 to $50 million (USD)
592,Data Engineering Analyst,$44K-$73K (Glassdoor est.),3.8,"COUNTRY Financial
3.8","Bloomington, IL",1001 to 5000 employees,1925,Company - Private,Insurance,$2 to $5 billion (USD)
593,Sr. Data Engineer,$75K-$140K (Glassdoor est.),3.4,"Echo Global Logistics
3.4","Chicago, IL",1001 to 5000 employees,2005,Company - Public,Transportation & Logistics,$2 to $5 billion (USD)
594,"Scientist, Pharmacometrics",$84K-$157K (Glassdoor est.),3.8,"Agios Pharmaceuticals
3.8","Cambridge, MA",501 to 1000 employees,2008,Company - Public,Biotech & Pharmaceuticals,$50 to $100 million (USD)
595,Manager of Data Science,$40K-$87K (Glassdoor est.),3.9,"Tapjoy
3.9","San Francisco, CA",201 to 500 employees,2007,Company - Private,Information Technology,$10 to $25 million (USD)
596,Scientist Manufacturing Pharma - Kentucky BioProcessing,$68K-$139K (Glassdoor est.),3.1,"Reynolds American
3.1","Owensboro, KY",5001 to 10000 employees,1875,Company - Private,Manufacturing,$10+ billion (USD)
597,Software Engineer (Data Scientist/Software Engineer) - SISW - MG,$72K-$142K (Glassdoor est.),4.1,"Mentor Graphics
4.1","Fremont, CA",5001 to 10000 employees,1981,Company - Public,Information Technology,$1 to $2 billion (USD)
598,Data Engineer,$74K-$137K (Glassdoor est.),3.7,"Maxar Technologies
3.7","Springfield, VA",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,$2 to $5 billion (USD)
599,Data Engineer,$57K-$109K (Glassdoor est.),2.8,"ICW Group
2.8","San Diego, CA",501 to 1000 employees,1972,Company - Private,Insurance,$500 million to $1 billion (USD)
600,Lead Big Data Engineer,$121K-$203K (Glassdoor est.),4.0,"Glassdoor
4.0","San Francisco, CA",1001 to 5000 employees,2007,Company - Private,Information Technology,Unknown / Non-Applicable
601,Product Engineer – Spatial Data Science and Statistical Analysis,$52K-$85K (Glassdoor est.),3.5,"Esri
3.5","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Information Technology,$1 to $2 billion (USD)
602,Sr Software Engineer (Data Scientist),$81K-$140K (Glassdoor est.),3.4,"Assurant
3.4","Westlake, OH",10000+ employees,1978,Company - Public,Insurance,$5 to $10 billion (USD)
603,Sr. Data Engineer (ETL Developer),$83K-$148K (Glassdoor est.),3.7,"F&G
3.7","Des Moines, IA",201 to 500 employees,-1,Subsidiary or Business Segment,Insurance,$100 to $500 million (USD)
604,Associate Research Scientist I (Protein Expression and Production),$59K-$116K (Glassdoor est.),3.0,"Exelixis
3.0","Alameda, CA",501 to 1000 employees,1994,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable
605,Senior Data Scientist Artificial Intelligence,$60K-$101K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA",1001 to 5000 employees,1965,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
606,Analytics - Business Assurance Data Analyst,$31K-$55K (Glassdoor est.),4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Finance,$100 to $500 million (USD)
607,"Associate Director/Director, Safety Scientist",$102K-$178K (Glassdoor est.),4.4,"Acceleron Pharma
4.4","Cambridge, MA",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable
608,"Director, Precision Medicine Clinical Biomarker Scientist",$136K-$208K (Glassdoor est.),4.0,"Pfizer
4.0","Cambridge, MA",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
609,"Senior Scientist, Cell Pharmacology/Assay Development",Employer Provided Salary:$110K-$130K,-1.0,Kronos Bio,"Cambridge, MA",Unknown,-1,Company - Private,-1,Unknown / Non-Applicable
610,Data Analyst Senior,$48K-$85K (Glassdoor est.),3.0,"AmeriHealth Caritas
3.0","Philadelphia, PA",5001 to 10000 employees,1983,Company - Private,Insurance,$5 to $10 billion (USD)
611,Senior Formulations Scientist II,$71K-$129K (Glassdoor est.),3.0,"Exelixis
3.0","Alameda, CA",501 to 1000 employees,1994,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable
612,Lead Data Engineer (Python),$66K-$123K (Glassdoor est.),4.7,"Strategic Employment Partners
4.7","San Francisco, CA",51 to 200 employees,2006,Company - Private,Business Services,$1 to $5 million (USD)
613,Data Science Manager,$171K-$272K (Glassdoor est.),4.2,"Grand Rounds
4.2","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Health Care,Unknown / Non-Applicable
614,Senior Data Scientist 4 Artificial Intelligence,$92K-$146K (Glassdoor est.),3.8,"PNNL
3.8","Seattle, WA",1001 to 5000 employees,1965,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
615,Data Engineer,$65K-$126K (Glassdoor est.),3.5,"SPINS, LLC
3.5","Chicago, IL",201 to 500 employees,1995,Company - Private,Business Services,$50 to $100 million (USD)
616,"Director II, Data Science - GRS Predictive Analytics",$150K-$239K (Glassdoor est.),3.3,"Liberty Mutual Insurance
3.3","Chicago, IL",10000+ employees,1912,Company - Private,Insurance,$10+ billion (USD)
617,Medical Lab Scientist - MLT,$21-$29 Per Hour(Glassdoor est.),3.2,"Catholic Health Initiatives
3.2","Omaha, NE",10000+ employees,1996,Nonprofit Organization,Health Care,$10+ billion (USD)
618,"Senior Operations Data Analyst, Call Center Operations",$10-$17 Per Hour(Glassdoor est.),2.7,"FLEETCOR
2.7","Nashville, TN",5001 to 10000 employees,2000,Company - Public,Finance,$2 to $5 billion (USD)
619,Senior Quantitative Analyst,$118K-$228K (Glassdoor est.),3.3,"DTCC
3.3","Jersey City, NJ",1001 to 5000 employees,1973,Company - Private,Finance,$1 to $2 billion (USD)
620,Geospatial Software Developer and Data Scientist,$82K-$129K(Employer est.),3.7,"Applied Research Laboratories
3.7","Austin, TX",501 to 1000 employees,-1,College / University,Education,Unknown / Non-Applicable
621,RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,$52K-$91K (Glassdoor est.),3.9,"Southwest Research Institute
3.9","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Business Services,$500 million to $1 billion (USD)
622,Senior Scientist - Toxicologist - Product Integrity (Stewardship),$47K-$101K (Glassdoor est.),3.1,"Reynolds American
3.1","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Manufacturing,$10+ billion (USD)
623,Systems Engineer II - Data Analyst,$49K-$76K (Glassdoor est.),3.7,"Raytheon
3.7","Huntsville, AL",10000+ employees,1922,Company - Public,Aerospace & Defense,$10+ billion (USD)
624,Senior Research Analytical Scientist-Non-Targeted Analysis,$43K-$88K (Glassdoor est.),4.3,"RTI International
4.3","Durham, NC",1001 to 5000 employees,1958,Nonprofit Organization,Business Services,$500 million to $1 billion (USD)
625,Data Scientist,$61K-$109K (Glassdoor est.),3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA",10000+ employees,1948,Company - Public,Retail,$5 to $10 billion (USD)
626,Principal Data Scientist,$113K-$182K (Glassdoor est.),3.9,"AstraZeneca
3.9","Gaithersburg, MD",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
627,Director Data Science,$124K-$199K (Glassdoor est.),3.6,"TRANZACT
3.6","Fort Lee, NJ",1001 to 5000 employees,1989,Company - Private,Business Services,Unknown / Non-Applicable
628,Data Engineer,$58K-$104K (Glassdoor est.),3.7,"Carilion Clinic
3.7","Roanoke, VA",10000+ employees,1899,Nonprofit Organization,Health Care,$1 to $2 billion (USD)
629,Sr Data Analyst - IT,$52K-$93K (Glassdoor est.),2.1,"United BioSource
2.1","Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,$100 to $500 million (USD)
630,Senior Data Engineer,$97K-$181K (Glassdoor est.),3.9,"Figure Eight
3.9","San Francisco, CA",51 to 200 employees,2008,Company - Public,Information Technology,$10 to $25 million (USD)
631,Senior Data Engineer,$100K-$173K (Glassdoor est.),3.9,"Tapjoy
3.9","San Francisco, CA",201 to 500 employees,2007,Company - Private,Information Technology,$10 to $25 million (USD)
632,Sr. Data Analyst,$58K-$108K (Glassdoor est.),3.2,"DoubleVerify
3.2","New York, NY",201 to 500 employees,2008,Company - Private,Information Technology,Unknown / Non-Applicable
633,Research Scientist or Senior Research Scientist - Computer Vision,$81K-$161K (Glassdoor est.),4.6,"Mitsubishi Electric Research Labs
4.6","Cambridge, MA",51 to 200 employees,1991,Subsidiary or Business Segment,Business Services,$5 to $10 million (USD)
634,Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,$53K-$96K (Glassdoor est.),3.8,"Fareportal
3.8","New York, NY",1001 to 5000 employees,2002,Company - Private,Travel & Tourism,$2 to $5 billion (USD)
635,Data Analyst Chemist - Quality System Contractor,$61K-$110K (Glassdoor est.),2.2,"Rodan and Fields, LLC
2.2","San Francisco, CA",501 to 1000 employees,2002,Company - Private,Retail,Unknown / Non-Applicable
636,Senior Scientist - Biostatistician,$65K-$96K (Glassdoor est.),3.1,"Reynolds American
3.1","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Manufacturing,$10+ billion (USD)
637,Research Scientist / Principal Research Scientist - Multiphysical Systems,$115K-$220K (Glassdoor est.),4.6,"Mitsubishi Electric Research Labs
4.6","Cambridge, MA",51 to 200 employees,1991,Subsidiary or Business Segment,Business Services,$5 to $10 million (USD)
638,"Research Scientist, Machine Learning Department",$71K-$144K (Glassdoor est.),2.6,"Software Engineering Institute
2.6","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Education,Unknown / Non-Applicable
639,Foundational Community Supports Data Analyst,$32K-$57K (Glassdoor est.),3.4,"DESC
3.4","Seattle, WA",501 to 1000 employees,1979,Nonprofit Organization,Non-Profit,$25 to $50 million (USD)
640,"Senior Health Data Analyst, Star Ratings",$79K-$136K (Glassdoor est.),3.3,"Johns Hopkins Health Care
3.3","Glen Burnie, MD",1001 to 5000 employees,1889,Company - Private,Health Care,$500 million to $1 billion (USD)
641,"Principal Research Scientist/Team Lead, Medicinal Chemistry - Oncology",Employer Provided Salary:$120K-$145K,-1.0,Kronos Bio,"Cambridge, MA",Unknown,-1,Company - Private,-1,Unknown / Non-Applicable
642,Sr. Data Analyst,$50K-$89K (Glassdoor est.),3.7,"Community Behavioral Health
3.7","Philadelphia, PA",201 to 500 employees,1994,Company - Private,Health Care,$500 million to $1 billion (USD)
643,"Senior Engineer, Data Management Engineering",$68K-$129K (Glassdoor est.),3.5,"Western Digital
3.5","Milpitas, CA",10000+ employees,1970,Company - Public,Information Technology,$10+ billion (USD)
644,Quality Control Scientist III- Analytical Development,$48K-$113K (Glassdoor est.),2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,$25 to $50 million (USD)
645,"Clinical Scientist, Clinical Development",$27-$47 Per Hour(Glassdoor est.),3.8,"FORMA THERAPEUTICS
3.8","Watertown, MA",51 to 200 employees,2008,Company - Private,Biotech & Pharmaceuticals,$10 to $25 million (USD)
646,Software Engineer Staff Scientist: Human Language Technologies,$74K-$124K (Glassdoor est.),3.7,"Raytheon
3.7","Cambridge, MD",10000+ employees,1922,Company - Public,Aerospace & Defense,$10+ billion (USD)
647,"Manager, Safety Scientist, Medical Safety & Risk Management",$68K-$125K (Glassdoor est.),3.8,"Agios Pharmaceuticals
3.8","Cambridge, MA",501 to 1000 employees,2008,Company - Public,Biotech & Pharmaceuticals,$50 to $100 million (USD)
648,"Assistant Director/Director, Office of Data Science",$39K-$67K (Glassdoor est.),3.3,"Liberty Mutual Insurance
3.3","Boston, MA",10000+ employees,1912,Company - Private,Insurance,$10+ billion (USD)
649,Sr. Data Engineer | Big Data SaaS Pipeline,$71K-$135K (Glassdoor est.),2.7,"Bridg
2.7","Los Angeles, CA",1 to 50 employees,2011,Company - Private,Information Technology,Unknown / Non-Applicable
650,Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),3.8,"Bill.com
3.8","Palo Alto, CA",501 to 1000 employees,2006,Company - Public,Finance,$50 to $100 million (USD)
651,Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA",1001 to 5000 employees,1965,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
652,Consultant - Analytics Consulting,$54K-$71K (Glassdoor est.),3.0,"Infosys
3.0","Hartford, CT",10000+ employees,1981,Company - Public,Information Technology,$10+ billion (USD)
653,Scientist - CVRM Metabolism - in vivo pharmacology,$61K-$123K (Glassdoor est.),3.9,"AstraZeneca
3.9","Gaithersburg, MD",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
654,Data Analyst,$47K-$85K (Glassdoor est.),3.6,"AXION Healthcare Solutions
3.6","New York, NY",1 to 50 employees,1980,Company - Private,Health Care,$10 to $25 million (USD)
655,Data Engineer,$65K-$124K (Glassdoor est.),3.5,"Alignment Healthcare
3.5","Orange, CA",501 to 1000 employees,2013,Company - Private,Health Care,Unknown / Non-Applicable
656,Data Scientist,$87K-$141K (Glassdoor est.),3.6,"TRANZACT
3.6","Fort Lee, NJ",1001 to 5000 employees,1989,Company - Private,Business Services,Unknown / Non-Applicable
657,Data Scientist,$56K-$95K (Glassdoor est.),4.2,"ExecOnline
4.2","New York, NY",51 to 200 employees,2012,Company - Private,Education,Unknown / Non-Applicable
658,Data Scientist,$71K-$121K (Glassdoor est.),3.5,"Charter Spectrum
3.5","Maryland Heights, MO",1 to 50 employees,-1,School / School District,Education,$5 to $10 million (USD)
659,Machine Learning Engineer,$62K-$112K (Glassdoor est.),4.0,"Mteq
4.0","Fort Belvoir, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,$100 to $500 million (USD)
660,Data Scientist,$64K-$108K (Glassdoor est.),3.7,"Brillient
3.7","Silver Spring, MD",201 to 500 employees,2006,Company - Private,Information Technology,$25 to $50 million (USD)
661,Senior Data Scientist,$89K-$144K (Glassdoor est.),4.4,"Entefy
4.4","Palo Alto, CA",1 to 50 employees,2012,Company - Private,Information Technology,Unknown / Non-Applicable
662,Senior Scientist (Neuroscience),$109K-$200K (Glassdoor est.),3.5,"Sunovion
3.5","Marlborough, MA",1001 to 5000 employees,2010,Company - Private,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
663,Marketing Data Analyst,$35K-$62K (Glassdoor est.),3.6,"San Manuel Casino
3.6","Highland, CA",1001 to 5000 employees,1986,Company - Private,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
664,Machine Learning Engineer - Regulatory,$61K-$113K (Glassdoor est.),3.7,"Cboe Global Markets
3.7","Lenexa, KS",501 to 1000 employees,1973,Company - Public,Finance,$500 million to $1 billion (USD)
665,Data Engineer,$55K-$105K (Glassdoor est.),3.4,"Trace3
3.4","Houston, TX",501 to 1000 employees,2002,Company - Private,Information Technology,$1 to $2 billion (USD)
666,Medical Laboratory Scientist,$18-$25 Per Hour(Glassdoor est.),4.0,"Texas Health Huguley Hospital
4.0","Burleson, TX",1001 to 5000 employees,1977,Hospital,Health Care,$50 to $100 million (USD)
667,Principal Data Scientist,$135K-$211K (Glassdoor est.),3.7,"Northrop Grumman
3.7","San Jose, CA",10000+ employees,1939,Company - Public,Aerospace & Defense,$10+ billion (USD)
668,R&D Specialist/ Food Scientist,$39K-$66K (Glassdoor est.),2.4,"Teasdale Latin Foods
2.4","Hoopeston, IL",501 to 1000 employees,-1,Company - Private,Manufacturing,$100 to $500 million (USD)
669,Data Engineer,$57K-$80K (Glassdoor est.),3.5,"Saama Technologies Inc
3.5","Phoenix, AZ",501 to 1000 employees,1997,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable
670,"Associate Principal Scientist, Pharmacogenomics",$63K-$127K (Glassdoor est.),3.9,"AstraZeneca
3.9","Gaithersburg, MD",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
671,Data Scientist - Systems Engineering,$50K-$89K (Glassdoor est.),3.2,"MITRE
3.2","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Government,$1 to $2 billion (USD)
672,Senior Data Scientist,$82K-$132K (Glassdoor est.),4.4,"The David J. Joseph Company
4.4","Cincinnati, OH",201 to 500 employees,1885,Subsidiary or Business Segment,Mining & Metals,Unknown / Non-Applicable
673,Data Scientist SR,$85K-$139K (Glassdoor est.),3.9,"The Buffalo Group
3.9","Charlottesville, VA",501 to 1000 employees,2010,Company - Private,Information Technology,$100 to $500 million (USD)
674,Data Scientist,$72K-$121K (Glassdoor est.),3.4,"CompQsoft
3.4","Washington, DC",51 to 200 employees,1997,Company - Private,Business Services,$10 to $25 million (USD)
675,"Scientist, Bacteriology",$74K-$149K (Glassdoor est.),2.1,"Cerus Corporation
2.1","Concord, CA",201 to 500 employees,-1,Company - Public,Biotech & Pharmaceuticals,$25 to $50 million (USD)
676,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",$113K-$196K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
677,Data Scientist,$69K-$121K (Glassdoor est.),3.4,"Remedy BPCI Partners, LLC.
3.4","New York, NY",201 to 500 employees,2011,Company - Private,Health Care,Unknown / Non-Applicable
678,Data Scientist,$71K-$124K (Glassdoor est.),4.0,"Strategic Financial Solutions
4.0","New York, NY",501 to 1000 employees,2007,Company - Private,Consumer Services,Unknown / Non-Applicable
679,Senior Data Scientist,$97K-$160K (Glassdoor est.),4.4,"Maven Wave Partners
4.4","Chicago, IL",201 to 500 employees,2008,Company - Private,Business Services,$50 to $100 million (USD)
680,Senior Research Scientist-Machine Learning,$81K-$167K (Glassdoor est.),2.6,"Software Engineering Institute
2.6","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Education,Unknown / Non-Applicable
681,Principal Data Scientist,$150K-$238K (Glassdoor est.),3.2,"The Climate Corporation
3.2","San Francisco, CA",501 to 1000 employees,2006,Subsidiary or Business Segment,Information Technology,Unknown / Non-Applicable
682,Clinical Laboratory Scientist,$24-$39 Per Hour(Glassdoor est.),3.7,"Vail Health
3.7","Vail, CO",501 to 1000 employees,1966,Hospital,Health Care,$100 to $500 million (USD)
683,"Data Analyst 1, full-time contract worker for up to 12 months",$35K-$65K (Glassdoor est.),4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Salt Lake City, UT",10000+ employees,-1,Nonprofit Organization,Non-Profit,Unknown / Non-Applicable
684,Data Scientist,$77K-$132K (Glassdoor est.),3.5,"Crossix Solutions
3.5","New York, NY",201 to 500 employees,2005,Company - Public,Business Services,Unknown / Non-Applicable
685,Data Scientist,$51K-$88K (Glassdoor est.),4.3,"Solugenix Corporation
4.3","Phoenix, AZ",201 to 500 employees,1969,Company - Private,Information Technology,$50 to $100 million (USD)
686,Data Scientist,$101K-$141K (Glassdoor est.),2.6,"West Coast University
2.6","Irvine, CA",10000+ employees,1997,Company - Private,Education,Unknown / Non-Applicable
687,Data Engineer - Consultant (Charlotte Based),$59K-$112K (Glassdoor est.),4.2,"Clarity Insights
4.2","Charlotte, NC",201 to 500 employees,2008,Company - Private,Information Technology,Unknown / Non-Applicable
688,Data Engineer,$79K-$147K (Glassdoor est.),3.1,"NCSOFT
3.1","Aliso Viejo, CA",1001 to 5000 employees,1997,Company - Public,Media,$10+ billion (USD)
689,Data Scientist (Warehouse Automation),$79K-$127K (Glassdoor est.),3.8,"SoftBank Robotics
3.8","San Francisco, CA",201 to 500 employees,2005,Subsidiary or Business Segment,Manufacturing,$25 to $50 million (USD)
